what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398056662018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398056668731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398056671470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398056671642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398056676040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1398056681708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398056688800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398056690661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1398056698505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398056700204
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1398056705028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398056705363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398056725798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398056734541
closed,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1398056744013
closed,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1398056744026
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398056744032
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398056744041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398056748028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398056748098
error,log,,,"sports_car_listview_layout.xml: Different corner sizes are not supported in Path.addRoundRect.",1398056755981
opened,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1398056756285
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1398056756411
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398056795565
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1398056797934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398056801324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398056830605
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398056830623
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1398056832883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1398056834107
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1398056836882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398056838503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398056975479
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1398056977538
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1398056979385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398056999092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398057066225
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1398057066229
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1398057066809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398057124132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398057148040
