what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1398075349306
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1398075349306
java.version,sysinfo,,,"1.6.0_45",1398075349306
java.vm.info,sysinfo,,,"mixed mode",1398075349306
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1398075349306
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1398075349306
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1398075349306
java.vm.specification.version,sysinfo,,,"1.0",1398075349306
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1398075349306
java.vm.version,sysinfo,,,"20.45-b01",1398075349306
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1398075351749
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1398075351779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398075356196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398075357055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398075357864
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1398075363507
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1398075364049
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1398075364050
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1398075364078
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1398075364113
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1398075364216
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1398075364290
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1398075364382
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1398075364471
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1398075364523
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1398075364571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398075417850
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1398075421333
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1398075421334
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1398075421372
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1398075421930
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1398075421943
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1398075422014
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1398075423685
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1398075423773
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1398075423933
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1398075423934
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1398075423935
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1398075424007
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1398075424084
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1398075424086
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1398075427503
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1398075428885
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1398075429251
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1398075429276
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1398075433603
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398075433653
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1398075433710
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1398075443595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1398075443604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398075445013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398075454031
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1398075460087
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1398075460090
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1398075460137
started,bundle,com.android.ide.eclipse.ndk,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ndk",1398075460193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398075463123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398075486107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398075490484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398075511957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1398075516348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398075517271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398075628953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398075629380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398075663116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398075666929
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1398075667962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1398075669725
